,Country,Value(millions SAR),Weight(Tons),Commodity Name,Commodity Code
144,SOUTH KOREA,44.382027,15451.254,CYCLIC HYDROCARBONS (BENZENE),29022000
145,U.S.A,397.694276,3440.109,PARTS OF LIQUID PUMPS,84139100
146,CHINA,149.883079,5158.857,PARTS OF LIQUID PUMPS,84139100
147,GERMANY,128.80119,914.635,PARTS OF LIQUID PUMPS,84139100
148,HONG KONG,664.76681,5755.388,"FEMALE DRESSES, COTTON, NOT KNITTED",62044200
149,UNITED KINGDOM,267.046152,598.895,"FEMALE DRESSES, COTTON, NOT KNITTED",62044200
150,CHINA,159.145744,1254.306,"FEMALE DRESSES, COTTON, NOT KNITTED",62044200
151,ARGENTINA,1271.459024,983473.96,"OIL-CAKE AND OTHER SOLID RESIDUES, FROM SOYA-BEAN OIL",23040000
152,BRAZIL,69.269627,48107.49,,
153,U.S.A,55.245184,35871.187,,
