,Quantity/Units,Weight(Tons),Value(1000 SAR),Commodity Code,Commodity,Country Group
41,68,62239.96,589525.499,89019000,OTHER VESSELS FOR THE TRANSPORT OF GOODS,Gulf Cooperation Council
42,117,49117.04,3571996.546,89040000,TUGS AND PUSHER CRAFT,Gulf Cooperation Council
43,2,13326.0,1205714.806,89051000,DREDGERS,Gulf Cooperation Council
44,16,17917.0,1722950.156,89052000,FLOATING OR SUBMERSIBLE DRILLING PLATFORMS,Gulf Cooperation Council
45,28,36394.0,1785080.505,89059090,OTHER FLOATING DOCKS AND THE LIKE,Gulf Cooperation Council
46,0,47750.434,2956161.889,89069090,OTHER SHIPS,Gulf Cooperation Council
47,0,2429.144,399893.308,90159000,"PARTS FOR SURVEYING, HYDROGRAPHIC, ETC., INSTRUMENTS",Gulf Cooperation Council
48,0,20991.011,371216.36,96190010,DIAPERS FOR CHILDREN,Gulf Cooperation Council
49,0,1912.997,652781.944,98010000,the personal effects and used household items brought into the co,Gulf Cooperation Council
50,0,6546527.728,19860587.774,99999999,Other Commodities,Gulf Cooperation Council
51,0,25645.035,129587.52,4011090,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,Other Arab League Countries
52,0,19924.203,149311.226,4029110,"OTHER MILK, UNSWEETENED",Other Arab League Countries
53,0,28977.06,290882.44,4063000,"PROCESSED CHEESE, NOT GRATED OR POWDERED",Other Arab League Countries
54,0,60715.053,144862.047,8041021,STORED DATES,Other Arab League Countries
55,0,180589.111,310685.624,17019911,REFINED SUGAR CRYSTALS,Other Arab League Countries
56,0,49916.968,318231.084,19021910,"MACARONI, VERMICELLI AND SIMILAR ITEMS WITHOUT EGGS",Other Arab League Countries
57,0,27237.328,138985.482,19053100,SWEAT BISCUITS,Other Arab League Countries
58,0,8064.557,144093.497,19059080,"CRISPS (AS POP CORN, CHIPS AND THE LIKE)",Other Arab League Countries
59,0,78735.23,202364.104,20098929,OTHER MANGO JUICE,Other Arab League Countries
60,0,59596.13,126305.946,22029060,"BEVERAGES NON GASEUS , SUGURED FRUIT FLAVORED",Other Arab League Countries
61,0,7337603.751,8345429.142,27090000,CRUDE PETROLEUM OILS,Other Arab League Countries
62,0,102539.3,167156.663,27101121,ENGINE  GASOLINE,Other Arab League Countries
63,0,1797624.374,2360730.863,27101131,ENGINE DIESEL,Other Arab League Countries
64,0,1320533.769,1488234.73,27101214,NATURAL GASOLINE,Other Arab League Countries
65,0,600075.527,586729.847,27101229,FUEL FOR   OTHER PURPOSES,Other Arab League Countries
66,0,3263937.58,3465182.848,27101239,DIESEL FOR OTHER PURPOSES,Other Arab League Countries
67,0,640992.113,497567.99,27101911,BASE OILS,Other Arab League Countries
68,0,181218.149,262073.867,27111200,PROPANE,Other Arab League Countries
69,0,1234720.613,1807494.054,27111300,BUTANES,Other Arab League Countries
70,0,1341036.361,198379.352,27129000,Other mineral waxes,Other Arab League Countries
71,0,75821.662,129289.936,29053100,ETHYLENE GLYCOL (ETHANEDIOL),Other Arab League Countries
72,0,83785.212,149603.427,29094300,Monobutyl ethers of Ethylene glycol or of diethylene glycol,Other Arab League Countries
73,0,3319.744,474019.642,30049090,"OTHER MEDICINE, RETAIL",Other Arab League Countries
74,0,141133.875,146024.453,31021000,"UREA, WHETHER OR NOT IN AQUEOUS SOLUTION",Other Arab League Countries
75,0,18034.08,181163.053,32061100,PIGMENTS CONTAINING 80% OF WEIGHT OR MORE OF TITANIUM DIOXIDE,Other Arab League Countries
76,0,18432.52,122791.99,33051000,SHAMPOOS,Other Arab League Countries
77,0,645822.675,1954782.242,39011000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF LESS THAN 0.94,Other Arab League Countries
78,0,593858.707,2049043.921,39012000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF 0.94 OR MORE,Other Arab League Countries
79,0,815207.131,2892623.727,39021000,POLYPRO PYLENE,Other Arab League Countries
80,0,46199.1,163737.657,39031900,OTHER POLYSTRENE,Other Arab League Countries
81,0,34121.838,122885.672,39041000,"POLYVINYL CHLORIDE, NOT MIXED WITH OTHER",Other Arab League Countries
82,0,23189.31,124963.796,39072000,OTHER POLYETHERS,Other Arab League Countries
83,0,44947.416,263405.729,39201000,"OTHER SHEETS, ETC., OF POLYMERS OF ETHYLENE",Other Arab League Countries
84,0,23447.915,154434.898,39202000,"OTHER SHEETS, ETC., OF POLYMERS OF PROPYLENE",Other Arab League Countries
85,0,34261.665,257034.497,39219000,"OTHER PLASTIC SHEETS, FILM, ETC., NON-CELLULAR",Other Arab League Countries
86,0,65434.765,321632.134,39233000,"CARBOYS, BOTTLES, FLASKS AND SIMILAR ARTICLES, PLASTIC",Other Arab League Countries
87,0,41036.84,125428.919,44072900,OTHER SWAN WOOD OR CUT INTO CIRCULAR SLIDES,Other Arab League Countries
88,0,25712.942,147653.23,48191090,OTHERS BOXES OF CORRUGATED PAPER OR PAPERBOARD,Other Arab League Countries
89,0,36830.135,623731.106,48192090,OTHERS BOXES OF NON-CORRUGATED PAPER OR PAPERBOARD,Other Arab League Countries
90,0,21022.901,128694.803,73041900, Other Pipe Of stainless steel,Other Arab League Countries
91,0,36627.219,359352.845,76061200,"RECTANGULAR ALLOYED ALUMINUM PLATES, OVER 0.2 MM THICK",Other Arab League Countries
92,0,36129.927,360368.758,76069200,"OTHER ALLOYED ALUMINUM PLATES, OVER 0.2 MM THICK",Other Arab League Countries
93,0,7851.649,123236.156,85446010,OTHER CONDUCTORS OVER 10 MM WIDE AND OVER 1000 V,Other Arab League Countries
94,0,12216.01,193734.556,85446020,ELECTRIC WIRES OF CROSS-SECTION 10mm FOR TENSION EXCEED,Other Arab League Countries
95,3373,5944.254,214459.69,87032111,"PRIVATE CARS, CURRENT, SPARK-IGNITION, NOT OVER 1000 CC",Other Arab League Countries
96,23070,40785.679,935017.841,87032112,"PRIVATE CARS, 1-YEAR, SPARK-IGNITION, NOT OVER 1000 CC",Other Arab League Countries
97,3014,4973.851,184474.087,87032390,"OTHER VEHICLES, SPARK IGNITION, 1501 TO 3000 CC",Other Arab League Countries
98,33818,12477.075,333682.561,87042110,"PICKUPS, COMPRESSION IGNITION, 5 TONS AND LESS",Other Arab League Countries
99,6,1275.269,377493.75,89011000,"CRUISE SHIPS, FERRY-BOATS AND THE LIKE FOR PERSONS",Other Arab League Countries
100,0,34164.06,385599.9,96190010,DIAPERS FOR CHILDREN,Other Arab League Countries
101,0,6883455.118,11412785.365,99999999,Other Commodities,Other Arab League Countries
102,0,21753.656,106049.532,8041010,FRESH DATES,Islamic not Arabic countries
103,0,1723.475,42805.957,21069094,NATURAL HONEY RICH IN ROYAL JELLY,Islamic not Arabic countries
104,0,27104.891,57351.052,23099020,POULTRY FOOD,Islamic not Arabic countries
105,0,1462188.0,169464.708,25231000,CEMENT CLINKERS,Islamic not Arabic countries
106,0,206350.0,670570.437,27073000,XYLOLE,Islamic not Arabic countries
107,0,14504343.252,16916975.483,27090000,CRUDE PETROLEUM OILS,Islamic not Arabic countries
108,0,105618.12,152782.197,27101111,LIGHT NAPHTHA,Islamic not Arabic countries
109,0,663493.021,819203.344,27101112,FULL WHOLE NAPHTHA,Islamic not Arabic countries
110,0,350313.594,450761.784,27101121,ENGINE  GASOLINE,Islamic not Arabic countries
111,0,793140.136,882059.434,27101131,ENGINE DIESEL,Islamic not Arabic countries
112,0,320226.316,445825.805,27101214,NATURAL GASOLINE,Islamic not Arabic countries
113,0,83823.148,114578.715,27101229,FUEL FOR   OTHER PURPOSES,Islamic not Arabic countries
114,0,843171.648,1038265.684,27101239,DIESEL FOR OTHER PURPOSES,Islamic not Arabic countries
115,0,563774.931,751276.984,27111100,"NATURAL GAS, LIQUEFIED",Islamic not Arabic countries
116,0,180673.238,235299.673,27111200,PROPANE,Islamic not Arabic countries
117,0,186929.292,245159.408,27111300,BUTANES,Islamic not Arabic countries
118,0,33552.804,48617.167,27112900,"OTHER GASES, GASEOUS STATE",Islamic not Arabic countries
119,0,1120347.47,845345.353,28141000,ANHYDROUS AMMONIA,Islamic not Arabic countries
120,0,27133.439,78207.465,29012100,ETHYLENE,Islamic not Arabic countries
121,0,37501.453,107532.596,29012200,PROPENE (PROPYLENE),Islamic not Arabic countries
122,0,309692.602,783833.256,29025000,CYCLIC HYDROCARBONS (STYRENE),Islamic not Arabic countries
123,0,394201.092,319969.293,29051100,METHANOL (METHYL ALCOHOL),Islamic not Arabic countries
124,0,36936.0,91285.682,29051910,DIETHYL HEXANOL,Islamic not Arabic countries
125,0,26305.437,55310.755,29051990,OTHER SATURATED MONOHYDRIC ALCOHOLS,Islamic not Arabic countries
126,0,83754.662,133661.789,29053100,ETHYLENE GLYCOL (ETHANEDIOL),Islamic not Arabic countries
127,0,42000.0,71971.969,29091910,TERT-BUTYL METHYLETHERS,Islamic not Arabic countries
128,0,522040.0,906996.61,29094300,Monobutyl ethers of Ethylene glycol or of diethylene glycol,Islamic not Arabic countries
129,0,16303.8,53644.654,29153100,ETHYL ACETATE,Islamic not Arabic countries
130,0,33860.82,145719.038,29153200,VINYL ACETATE,Islamic not Arabic countries
131,0,49422.12,173375.594,29161100,ACRYLIC ACID AND ITS SALTS,Islamic not Arabic countries
132,0,34317.775,286155.84,29161400,ESTERS OF METHACRYLIC ACID,Islamic not Arabic countries
133,0,15409.685,106858.004,29291000,ISOCYANATES,Islamic not Arabic countries
134,0,369140.0,391601.129,31021000,"UREA, WHETHER OR NOT IN AQUEOUS SOLUTION",Islamic not Arabic countries
135,0,4309.002,44066.933,32061100,PIGMENTS CONTAINING 80% OF WEIGHT OR MORE OF TITANIUM DIOXIDE,Islamic not Arabic countries
136,0,40332.827,156067.873,38170000,MIXED ALKYLBENZENES AND MIXED ALKYLNAPHTHALENES,Islamic not Arabic countries
137,0,720913.845,2334414.649,39011000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF LESS THAN 0.94,Islamic not Arabic countries
138,0,700161.539,2142689.796,39012000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF 0.94 OR MORE,Islamic not Arabic countries
139,0,26948.507,134911.762,39013000,ETHYLENE-VINYL ACETATE COPOLYMERS,Islamic not Arabic countries
140,0,94034.704,325013.335,39019000,OTHER ETHYLENE POLYMERS,Islamic not Arabic countries
141,0,1609328.075,5910367.222,39021000,POLYPRO PYLENE,Islamic not Arabic countries
142,0,23840.003,116366.096,39023000,PROPYLENE COPOLYMERS,Islamic not Arabic countries
143,0,15615.865,82599.876,39033000,ACRYLONITRILE-BUTADIENE-STYRENE (ABS) COPOLYMERS,Islamic not Arabic countries
144,0,23842.085,140058.256,39072000,OTHER POLYETHERS,Islamic not Arabic countries
145,0,12047.184,106611.757,39074000,POLYCARBONATES,Islamic not Arabic countries
146,0,36224.0,200516.201,39093000,OTHER AMINO-RESINS,Islamic not Arabic countries
147,0,3923.835,48571.253,74040000,COPPER WASTE AND SCRAP,Islamic not Arabic countries
148,0,106313.82,855268.843,76011000,"UNWROUGHT ALUMINIUM, NOT ALLOYED",Islamic not Arabic countries
149,0,13931.695,95312.077,78011000,REFINED UNWROUGHT LEAD,Islamic not Arabic countries
150,5,18.308,112327.494,84071000,"AIRCRAFT ENGINES, SPARK OR ROTARY",Islamic not Arabic countries
151,0,20.031,196493.966,88033000,OTHER PARTS OF AEROPLANES OR HELICOPTERS,Islamic not Arabic countries
152,0,913067.753,2012724.881,99999999,Other Commodities,Islamic not Arabic countries
153,0,319889.378,1773538.106,26030000,COPPER ORES AND CONCENTRATES,"Asian not Arabic ,not Islamic"
154,0,209000.0,679182.076,27073000,XYLOLE,"Asian not Arabic ,not Islamic"
155,0,234013744.36,268799028.364,27090000,CRUDE PETROLEUM OILS,"Asian not Arabic ,not Islamic"
156,0,219926.42,317501.609,27101111,LIGHT NAPHTHA,"Asian not Arabic ,not Islamic"
157,0,3396411.732,4265650.263,27101112,FULL WHOLE NAPHTHA,"Asian not Arabic ,not Islamic"
158,0,318014.059,295805.652,27101121,ENGINE  GASOLINE,"Asian not Arabic ,not Islamic"
159,0,546877.629,659890.394,27101122,JET AIRPLANE FUEL,"Asian not Arabic ,not Islamic"
160,0,1697660.392,2129521.58,27101131,ENGINE DIESEL,"Asian not Arabic ,not Islamic"
161,0,429324.584,472380.033,27101214,NATURAL GASOLINE,"Asian not Arabic ,not Islamic"
162,0,519925.645,715318.656,27101239,DIESEL FOR OTHER PURPOSES,"Asian not Arabic ,not Islamic"
163,0,3902779.538,2106985.458,27101911,BASE OILS,"Asian not Arabic ,not Islamic"
164,0,2504582.31,3673319.841,27111200,PROPANE,"Asian not Arabic ,not Islamic"
165,0,3162356.053,4720500.555,27111300,BUTANES,"Asian not Arabic ,not Islamic"
166,0,2584232.028,3147183.287,28141000,ANHYDROUS AMMONIA,"Asian not Arabic ,not Islamic"
167,0,4226418.287,1476078.869,28142000,AMMONIA IN AQUEOUS SOLUTION,"Asian not Arabic ,not Islamic"
168,0,437248.353,1035531.048,29024300,P-XYLENE,"Asian not Arabic ,not Islamic"
169,0,1122300.0,2900327.321,29025000,CYCLIC HYDROCARBONS (STYRENE),"Asian not Arabic ,not Islamic"
170,0,491900.0,444026.431,29031500,"1,2-DICHLOROETHANE (ETHYLENE DICHLORIDE)","Asian not Arabic ,not Islamic"
171,0,3844693.04,3025096.649,29051100,METHANOL (METHYL ALCOHOL),"Asian not Arabic ,not Islamic"
172,0,1620893.697,2558129.671,29053100,ETHYLENE GLYCOL (ETHANEDIOL),"Asian not Arabic ,not Islamic"
173,0,160656.004,487178.683,29071110,Phenol,"Asian not Arabic ,not Islamic"
174,0,1115868.651,2364127.248,29091910,TERT-BUTYL METHYLETHERS,"Asian not Arabic ,not Islamic"
175,0,3369680.953,5748756.26,29094300,Monobutyl ethers of Ethylene glycol or of diethylene glycol,"Asian not Arabic ,not Islamic"
176,0,141966.897,771146.708,29102000,METHYLOXIRANE (PROPYLENE OXIDE),"Asian not Arabic ,not Islamic"
177,0,137855.619,372201.663,29141100,ACETONE,"Asian not Arabic ,not Islamic"
178,0,63848.189,270299.135,29153200,VINYL ACETATE,"Asian not Arabic ,not Islamic"
179,0,85190.0,294061.907,29161100,ACRYLIC ACID AND ITS SALTS,"Asian not Arabic ,not Islamic"
180,0,106799.076,889810.493,29161400,ESTERS OF METHACRYLIC ACID,"Asian not Arabic ,not Islamic"
181,0,49803.785,294610.031,29212100,ETHYLENEDIAMINE AND ITS SALTS,"Asian not Arabic ,not Islamic"
182,0,50435.0,276029.289,29291000,ISOCYANATES,"Asian not Arabic ,not Islamic"
183,0,1558538.71,1578693.205,31021000,"UREA, WHETHER OR NOT IN AQUEOUS SOLUTION","Asian not Arabic ,not Islamic"
184,0,141474.956,551840.331,38170000,MIXED ALKYLBENZENES AND MIXED ALKYLNAPHTHALENES,"Asian not Arabic ,not Islamic"
185,0,2414102.85,7316027.628,39011000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF LESS THAN 0.94,"Asian not Arabic ,not Islamic"
186,0,2169171.24,6648669.77,39012000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF 0.94 OR MORE,"Asian not Arabic ,not Islamic"
187,0,148193.994,743693.236,39013000,ETHYLENE-VINYL ACETATE COPOLYMERS,"Asian not Arabic ,not Islamic"
188,0,201321.99,659517.246,39019000,OTHER ETHYLENE POLYMERS,"Asian not Arabic ,not Islamic"
189,0,1258499.311,4412030.062,39021000,POLYPRO PYLENE,"Asian not Arabic ,not Islamic"
190,0,72777.292,313812.881,39023000,PROPYLENE COPOLYMERS,"Asian not Arabic ,not Islamic"
191,0,66436.089,392594.218,39061000,POLYMETHYL METHACRYLATE,"Asian not Arabic ,not Islamic"
192,0,188012.103,1040091.308,39072000,OTHER POLYETHERS,"Asian not Arabic ,not Islamic"
193,0,174946.903,1504666.42,39074000,POLYCARBONATES,"Asian not Arabic ,not Islamic"
194,0,205027.0,1142412.797,39093000,OTHER AMINO-RESINS,"Asian not Arabic ,not Islamic"
195,0,57289.524,349573.97,40023100,ISOBUTENE-ISOPRENE (BUTYL) RUBBER (IIR),"Asian not Arabic ,not Islamic"
196,0,75004.06,954685.742,74040000,COPPER WASTE AND SCRAP,"Asian not Arabic ,not Islamic"
197,0,267668.266,2135998.674,76011000,"UNWROUGHT ALUMINIUM, NOT ALLOYED","Asian not Arabic ,not Islamic"
198,0,154091.86,534594.664,76020000,ALUMINIUM WASTE AND SCRAP,"Asian not Arabic ,not Islamic"
199,14,93.295,293284.722,84071000,"AIRCRAFT ENGINES, SPARK OR ROTARY","Asian not Arabic ,not Islamic"
200,0,81.063,282075.431,84119900,OTHER PARTS FOR TURBO-JETS OR TURBO-PROPELLERS,"Asian not Arabic ,not Islamic"
201,0,2507.606,264814.246,84212190,OTHER WATER FILTERING MACHINERY,"Asian not Arabic ,not Islamic"
202,1,34384.0,593296.135,89059090,OTHER FLOATING DOCKS AND THE LIKE,"Asian not Arabic ,not Islamic"
203,0,5256126.073,8958467.819,99999999,Other Commodities,"Asian not Arabic ,not Islamic"
204,0,1607.438,9495.924,4011090,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,"African not Arabic,not Islamic"
205,0,3173.612,10908.479,8041010,FRESH DATES,"African not Arabic,not Islamic"
206,0,61324.517,141594.673,17019911,REFINED SUGAR CRYSTALS,"African not Arabic,not Islamic"
207,0,1405864.262,173559.211,25231000,CEMENT CLINKERS,"African not Arabic,not Islamic"
208,0,155000.0,14276.188,25232100,WHITE PORTLAND CEMENT,"African not Arabic,not Islamic"
209,0,4503280.587,5588933.205,27090000,CRUDE PETROLEUM OILS,"African not Arabic,not Islamic"
210,0,34972.9,23338.187,27101121,ENGINE  GASOLINE,"African not Arabic,not Islamic"
211,0,448028.632,525699.439,27101122,JET AIRPLANE FUEL,"African not Arabic,not Islamic"
212,0,1187480.426,1663629.734,27101131,ENGINE DIESEL,"African not Arabic,not Islamic"
213,0,174781.652,212874.25,27101214,NATURAL GASOLINE,"African not Arabic,not Islamic"
214,0,68867.405,81402.801,27101229,FUEL FOR   OTHER PURPOSES,"African not Arabic,not Islamic"
215,0,788513.491,1061009.033,27101239,DIESEL FOR OTHER PURPOSES,"African not Arabic,not Islamic"
216,0,190851.0,29474.506,27129000,Other mineral waxes,"African not Arabic,not Islamic"
217,0,375126.46,434845.605,28141000,ANHYDROUS AMMONIA,"African not Arabic,not Islamic"
218,0,8250.0,10828.125,28142000,AMMONIA IN AQUEOUS SOLUTION,"African not Arabic,not Islamic"
219,0,6753.453,12077.186,28151100,SOLID CAUSTIC SODA,"African not Arabic,not Islamic"
220,0,22400.0,50173.523,29025000,CYCLIC HYDROCARBONS (STYRENE),"African not Arabic,not Islamic"
221,0,3149.0,16187.674,29053200,"PROPYLENE GLYCOL (PROPANE-1,2-DIOL)","African not Arabic,not Islamic"
222,0,62862.015,104374.969,29094300,Monobutyl ethers of Ethylene glycol or of diethylene glycol,"African not Arabic,not Islamic"
223,0,4900.0,11499.702,29126000,PARAFORMALDEHYDE,"African not Arabic,not Islamic"
224,0,2600.0,21664.5,29161400,ESTERS OF METHACRYLIC ACID,"African not Arabic,not Islamic"
225,0,4900.0,31651.002,29291000,ISOCYANATES,"African not Arabic,not Islamic"
226,0,48.455,9053.4,30049090,"OTHER MEDICINE, RETAIL","African not Arabic,not Islamic"
227,0,616588.0,603800.923,31021000,"UREA, WHETHER OR NOT IN AQUEOUS SOLUTION","African not Arabic,not Islamic"
228,0,15572.0,20337.436,31052000,"FERTILIZERS CONTAINING NITROGEN, PHOSPHORUS, POTASSIUM","African not Arabic,not Islamic"
229,0,1715.0,17828.69,32061100,PIGMENTS CONTAINING 80% OF WEIGHT OR MORE OF TITANIUM DIOXIDE,"African not Arabic,not Islamic"
230,0,2104.38,14707.536,38099110,CLOTH AND TOWEL SMOOTHERS,"African not Arabic,not Islamic"
231,0,26023.64,104310.576,38170000,MIXED ALKYLBENZENES AND MIXED ALKYLNAPHTHALENES,"African not Arabic,not Islamic"
232,0,132489.258,380688.216,39011000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF LESS THAN 0.94,"African not Arabic,not Islamic"
233,0,179487.85,499994.412,39012000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF 0.94 OR MORE,"African not Arabic,not Islamic"
234,0,6237.525,29261.498,39013000,ETHYLENE-VINYL ACETATE COPOLYMERS,"African not Arabic,not Islamic"
235,0,8640.724,29116.037,39019000,OTHER ETHYLENE POLYMERS,"African not Arabic,not Islamic"
236,0,234422.929,852006.165,39021000,POLYPRO PYLENE,"African not Arabic,not Islamic"
237,0,4117.676,19368.003,39023000,PROPYLENE COPOLYMERS,"African not Arabic,not Islamic"
238,0,3250.0,19358.482,39072000,OTHER POLYETHERS,"African not Arabic,not Islamic"
239,0,4500.0,26151.552,39093000,OTHER AMINO-RESINS,"African not Arabic,not Islamic"
240,0,937.641,11804.437,39199000,"OTHER SELF-ADHESIVE PLATES, STRIPS ETC., OF PLASTICS","African not Arabic,not Islamic"
241,0,2074.148,12516.198,39201000,"OTHER SHEETS, ETC., OF POLYMERS OF ETHYLENE","African not Arabic,not Islamic"
242,0,6007.487,40493.675,39202000,"OTHER SHEETS, ETC., OF POLYMERS OF PROPYLENE","African not Arabic,not Islamic"
243,0,1424.664,12979.297,39239000,OTHER PLASTIC PACKING GOODS,"African not Arabic,not Islamic"
244,0,8709.517,12564.037,48051100,SEMI-CHEMICAL AND NOTCHED PAPER (FLOATING),"African not Arabic,not Islamic"
245,0,16338.933,23179.827,48051910,other of paper,"African not Arabic,not Islamic"
246,0,21122.7,27696.811,63101000,"SORTED RAGS, TWINE AND THE LIKE","African not Arabic,not Islamic"
247,0,9334.267,9996.755,70052900,OTHER NON-WIRED FLOAT GLASS,"African not Arabic,not Islamic"
248,0,8403.147,41767.421,70109000,OTHER BOTTLES AND BEAKERS OF GLASS,"African not Arabic,not Islamic"
249,0,7600.86,12825.169,72143090,PARTIALLY-WORKED BARS OF FREE-CUTTING STEEL,"African not Arabic,not Islamic"
250,0,681.697,13784.779,74040000,COPPER WASTE AND SCRAP,"African not Arabic,not Islamic"
251,0,5050.401,47019.287,76061200,"RECTANGULAR ALLOYED ALUMINUM PLATES, OVER 0.2 MM THICK","African not Arabic,not Islamic"
252,0,2696.855,27786.524,76069200,"OTHER ALLOYED ALUMINUM PLATES, OVER 0.2 MM THICK","African not Arabic,not Islamic"
253,0,5301.716,31762.692,98010000,the personal effects and used household items brought into the co,"African not Arabic,not Islamic"
254,0,279018.163,377423.992,99999999,Other Commodities,"African not Arabic,not Islamic"
255,0,119.353,2772.996,3061700,"SHRIMPS AND PRAWNS, FROZEN",Australia and Oceania
256,0,464.124,4278.413,8041010,FRESH DATES,Australia and Oceania
257,0,4971.9,2937.398,25030000,"SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",Australia and Oceania
258,0,280648.05,325952.581,27090000,CRUDE PETROLEUM OILS,Australia and Oceania
259,0,183993.0,211002.569,28141000,ANHYDROUS AMMONIA,Australia and Oceania
260,0,48600.0,40482.0,28142000,AMMONIA IN AQUEOUS SOLUTION,Australia and Oceania
261,0,431000.0,334424.889,28151200,SODA LYE OR LIQUID SODA,Australia and Oceania
262,0,1066.5,3514.266,29212900,OTHER ACYCLIC POLYAMINES,Australia and Oceania
263,0,714.66,2421.815,29221100,MONOETHANOLAMINE AND ITS SALTS,Australia and Oceania
264,0,380.0,2309.771,29291000,ISOCYANATES,Australia and Oceania
