,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
5,408,0,1,Gulf Cooperation Council,HORSES FOR SPORT,01012910
6,54,0,1,Other Arab League Countries,HORSES FOR SPORT,01012910
7,132908,3,65,Gulf Cooperation Council,PURE-BRED BREEDING SHEEP,01041010
8,2983,0,2,Other Arab League Countries,PURE-BRED BREEDING SHEEP,01041010
9,1190,0,1,Other Arab League Countries,OTHER SHEEP,01041090
10,590,0,0,Other Country Groups,OTHER SHEEP,01041090
11,0,0,6,Gulf Cooperation Council,Other Fowls of the species Gallus domesticus,01059490
12,0,0,21,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490
13,0,0,0,Other Country Groups,Other Fowls of the species Gallus domesticus,01059490
14,2565,1,12,Gulf Cooperation Council,Pure-bred breeding camels,01061310
15,5,0,0,Other Country Groups,Pure-bred breeding camels,01061310
16,37833,10,222,Gulf Cooperation Council,Camels for sport and beauty contests,01061320
17,50,0,0,Other Country Groups,Camels for sport and beauty contests,01061320
18,0,0,1,Gulf Cooperation Council,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
19,0,0,5,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
20,0,0,2,Gulf Cooperation Council,MINCED MEAT OF BOVINE ANIMALS,02023010
21,0,0,1,Other Arab League Countries,MINCED MEAT OF BOVINE ANIMALS,02023010
22,0,2,39,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
23,0,1,6,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
24,0,1,7,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
25,0,0,0,Other Country Groups,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
26,0,0,1,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
27,0,0,1,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
28,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
29,0,1,2,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
30,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
31,0,1,3,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN",02044390
32,0,0,0,Other Country Groups,"BONELESS SHEEP MEAT ,FROZEN",02044390
33,0,0,1,Gulf Cooperation Council,FROZEN BONELESS GOAT MEAT,02045032
34,0,0,3,Gulf Cooperation Council,FRESH OFFAL OF OTHER ANIMALS,02068090
35,0,12,183,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
36,0,2,11,Other Arab League Countries,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
37,0,0,5,Gulf Cooperation Council,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
38,0,2,13,Other Arab League Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
39,0,0,1,Islamic not Arabic countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
40,0,1,3,"African not Arabic,not Islamic",UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
41,0,0,1,Other Country Groups,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
42,0,3,69,Gulf Cooperation Council," Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
43,0,0,5,Other Arab League Countries," Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
44,0,7,95,Gulf Cooperation Council," Cuts and offal, frozen(chikens)",02071400
45,0,1,13,Other Arab League Countries," Cuts and offal, frozen(chikens)",02071400
46,0,1,12,South America," Cuts and offal, frozen(chikens)",02071400
47,0,0,1,Other Country Groups," Cuts and offal, frozen(chikens)",02071400
48,0,0,3,Gulf Cooperation Council,FROZEN PIGEON OR SIMILAR MEAT,02089032
49,0,0,0,Other Country Groups,FROZEN PIGEON OR SIMILAR MEAT,02089032
50,0,1,3,Gulf Cooperation Council,OTHER FRESH SALMONIDAE,03021900
51,0,0,3,Other Arab League Countries,OTHER FRESH SALMONIDAE,03021900
52,0,5,24,Gulf Cooperation Council,INDIAN MACKEREL (RASTRELLIGER KANAGURTA),03024420
53,0,0,0,Other Country Groups,INDIAN MACKEREL (RASTRELLIGER KANAGURTA),03024420
54,0,0,5,Other Arab League Countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03024600
55,0,0,5,Gulf Cooperation Council,SHAOMIAT (3)   NAFAKRAK HSAHAN MMAHS(ITEBUS) EKIL(MERB),03028500
56,0,0,1,Gulf Cooperation Council,BREAM (KASHIR),03028910
57,0,0,0,Other Country Groups,BREAM (KASHIR),03028910
58,0,1,6,Islamic not Arabic countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
59,0,0,1,"Asian not Arabic ,not Islamic",OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
60,0,0,0,Other Country Groups,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900
61,0,0,1,Other Arab League Countries," Other Slices  of Groupers Or Emperors, frozen",03046900
62,0,1,17,"Asian not Arabic ,not Islamic"," Other Slices  of Groupers Or Emperors, frozen",03046900
63,0,0,4,"African not Arabic,not Islamic"," Other Slices  of Groupers Or Emperors, frozen",03046900
64,0,0,5,Australia and Oceania," Other Slices  of Groupers Or Emperors, frozen",03046900
65,0,0,7,North America," Other Slices  of Groupers Or Emperors, frozen",03046900
66,0,0,0,Other Country Groups," Other Slices  of Groupers Or Emperors, frozen",03046900
67,0,7,23,Gulf Cooperation Council," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
68,0,0,0,Other Country Groups," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900
69,0,0,1,Gulf Cooperation Council,"LOBSTERS, FROZEN",03061200
70,0,0,4,Other Arab League Countries,"LOBSTERS, FROZEN",03061200
71,0,0,1,Gulf Cooperation Council,"CRABS, FROZEN",03061400
72,0,0,0,Other Country Groups,"CRABS, FROZEN",03061400
73,0,0,3,Gulf Cooperation Council,"SHRIMPS AND PRAWNS, FROZEN",03061600
74,0,1,9,Other Arab League Countries,"SHRIMPS AND PRAWNS, FROZEN",03061600
75,0,0,1,Islamic not Arabic countries,"SHRIMPS AND PRAWNS, FROZEN",03061600
76,0,2,31,Gulf Cooperation Council,"SHRIMPS AND PRAWNS, FROZEN",03061700
77,0,0,7,Other Arab League Countries,"SHRIMPS AND PRAWNS, FROZEN",03061700
78,0,41,900,"Asian not Arabic ,not Islamic","SHRIMPS AND PRAWNS, FROZEN",03061700
79,0,0,5,"African not Arabic,not Islamic","SHRIMPS AND PRAWNS, FROZEN",03061700
80,0,0,3,Australia and Oceania,"SHRIMPS AND PRAWNS, FROZEN",03061700
81,0,0,2,North America,"SHRIMPS AND PRAWNS, FROZEN",03061700
82,0,1,32,European Union,"SHRIMPS AND PRAWNS, FROZEN",03061700
83,0,0,0,Other Country Groups,"SHRIMPS AND PRAWNS, FROZEN",03061700
84,0,0,1,Gulf Cooperation Council,CRABS,03062400
85,0,0,0,Other Country Groups,CRABS,03062400
86,0,0,1,Gulf Cooperation Council,OTHER CRUSTACEANS,03062900
87,0,0,5,Other Arab League Countries,OTHER CRUSTACEANS,03062900
88,0,0,0,Other Country Groups,OTHER CRUSTACEANS,03062900
89,0,0,1,Other Arab League Countries,OTHER CUTTLE FISH,03074900
90,0,0,2,"Asian not Arabic ,not Islamic",OTHER CUTTLE FISH,03074900
91,0,0,0,Other Country Groups,OTHER CUTTLE FISH,03074900
92,0,57,198,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
93,0,19,48,Other Arab League Countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
94,0,1,3,Islamic not Arabic countries,LONG LIFE MILK IN REFILLS MORE THAN ONE LITRE(FAT1%OR LESS),04011030
95,0,86,288,Gulf Cooperation Council,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
96,0,31,76,Other Arab League Countries,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
97,0,0,0,Other Country Groups,OTHER KIND OF MILK AND CREAM LESS THAN 1%.,04011090
98,0,0,1,Gulf Cooperation Council,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
99,0,0,0,Other Country Groups,LONG LIFE MILK IN REFILLS MORE THAN ONE LITER(FAT1- 6%UNSWEETENED,04012030
100,0,1,3,Other Arab League Countries,"OTHER TYPES OF LONG LIFE MILK IN REF > 1 LITER, FAT 6%.",04012090
101,0,0,0,Other Country Groups,"OTHER TYPES OF LONG LIFE MILK IN REF > 1 LITER, FAT 6%.",04012090
102,0,1,2,Other Arab League Countries,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04014030
103,0,0,0,Other Country Groups,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04014030
104,0,0,1,Gulf Cooperation Council,OTHER MILK AND CREAM FAT MORE THAN 6%.,04014090
105,0,1,1,Other Arab League Countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04014090
106,0,0,0,Other Country Groups,OTHER MILK AND CREAM FAT MORE THAN 6%.,04014090
107,0,1,3,Other Arab League Countries,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04015030
108,0,0,0,Other Country Groups,LONG LIFE MILK IN REFILLS > 1 LITER (FAT MORE 6%),04015030
109,0,0,2,Gulf Cooperation Council,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
110,0,0,1,Other Arab League Countries,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
111,0,0,1,Other Country Groups,OTHER MILK AND CREAM FAT MORE THAN 6%.,04015090
112,0,1,11,Gulf Cooperation Council,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
113,0,1,12,Other Arab League Countries,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
114,0,1,3,"African not Arabic,not Islamic",SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,04021010
115,0,6,90,Gulf Cooperation Council,OTHER LOW FAT SOLID MILK,04021090
116,0,1,19,Other Arab League Countries,OTHER LOW FAT SOLID MILK,04021090
117,0,0,2,Gulf Cooperation Council,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
118,0,2,34,Other Arab League Countries,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
119,0,0,1,Islamic not Arabic countries,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
120,0,0,1,"African not Arabic,not Islamic","SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
121,0,0,0,Other Country Groups,"SOLID UNSWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022110
122,0,5,36,Gulf Cooperation Council,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
123,0,3,23,Other Arab League Countries,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
124,0,0,0,Other Country Groups,"OTHER SOLID UNSWEETENED MILK, OVER 1% FAT",04022190
125,0,1,3,Other Arab League Countries,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
126,0,0,1,Islamic not Arabic countries,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
127,0,0,1,"African not Arabic,not Islamic","SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
128,0,1,3,South America,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
129,0,0,1,Other Country Groups,"SOLID SWEETENED MILK, OVER 1% FAT, FOR INDUSTRIAL",04022910
130,0,8,82,Other Arab League Countries,OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
131,0,0,1,"Asian not Arabic ,not Islamic",OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
132,0,0,1,"African not Arabic,not Islamic",OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
133,0,0,0,Other Country Groups,OTHER SOLID SWEETENED MILK OVER 1% FAT,04022990
134,0,35,195,Gulf Cooperation Council,"OTHER MILK, UNSWEETENED",04029110
135,0,27,112,Other Arab League Countries,"OTHER MILK, UNSWEETENED",04029110
136,0,1,2,Islamic not Arabic countries,"OTHER MILK, UNSWEETENED",04029110
137,0,0,0,Other Country Groups,"OTHER MILK, UNSWEETENED",04029110
138,0,2,21,Gulf Cooperation Council,"OTHER CREAM, UNSWEETENED",04029120
139,0,2,12,Other Arab League Countries,"OTHER CREAM, UNSWEETENED",04029120
140,0,0,0,Other Country Groups,"OTHER CREAM, UNSWEETENED",04029120
141,0,212,433,Gulf Cooperation Council,"OTHER MILK, SWEETENED",04029910
142,0,12,43,Other Arab League Countries,"OTHER MILK, SWEETENED",04029910
143,0,2,5,Islamic not Arabic countries,"OTHER MILK, SWEETENED",04029910
144,0,0,1,"Asian not Arabic ,not Islamic","OTHER MILK, SWEETENED",04029910
145,0,0,2,"African not Arabic,not Islamic","OTHER MILK, SWEETENED",04029910
146,0,2,5,South America,"OTHER MILK, SWEETENED",04029910
147,0,0,0,Other Country Groups,"OTHER MILK, SWEETENED",04029910
148,0,3,46,Gulf Cooperation Council,"OTHER CREAM, SWEETENED",04029920
149,0,2,16,Other Arab League Countries,"OTHER CREAM, SWEETENED",04029920
150,0,0,0,Other Country Groups,"OTHER CREAM, SWEETENED",04029920
151,0,159,698,Gulf Cooperation Council,YOGURT,04031000
152,0,4,16,Other Arab League Countries,YOGURT,04031000
153,0,0,0,Other Country Groups,YOGURT,04031000
154,0,3,41,Gulf Cooperation Council,LABNAH,04039010
155,0,0,1,Other Arab League Countries,LABNAH,04039010
156,0,19,128,Gulf Cooperation Council,LABAN,04039020
157,0,3,10,Other Arab League Countries,LABAN,04039020
158,0,1,2,Other Arab League Countries,WHEY,04041000
159,0,0,0,Other Country Groups,WHEY,04041000
160,0,0,2,Gulf Cooperation Council,OTHER WHEY,04049000
161,0,0,0,Other Country Groups,OTHER WHEY,04049000
162,0,2,40,Gulf Cooperation Council,BUTTER,04051000
163,0,1,8,Other Arab League Countries,BUTTER,04051000
164,0,3,61,Gulf Cooperation Council,DAIRY SPREADS,04052000
165,0,0,0,Other Country Groups,DAIRY SPREADS,04052000
166,0,1,10,Gulf Cooperation Council,GREASY MATERIALS DERIVED FROM MILK,04059000
167,0,0,0,Other Country Groups,GREASY MATERIALS DERIVED FROM MILK,04059000
168,0,6,107,Gulf Cooperation Council,FRESH CHEESE AND CURD,04061000
169,0,14,120,Other Arab League Countries,FRESH CHEESE AND CURD,04061000
170,0,0,1,Islamic not Arabic countries,FRESH CHEESE AND CURD,04061000
171,0,0,2,"Asian not Arabic ,not Islamic",FRESH CHEESE AND CURD,04061000
172,0,0,1,"African not Arabic,not Islamic",FRESH CHEESE AND CURD,04061000
173,0,0,1,Australia and Oceania,FRESH CHEESE AND CURD,04061000
174,0,0,0,Other Country Groups,FRESH CHEESE AND CURD,04061000
175,0,4,101,Gulf Cooperation Council,GRATED OR POWDERED CHEESE,04062000
176,0,6,75,Other Arab League Countries,GRATED OR POWDERED CHEESE,04062000
177,0,20,372,Gulf Cooperation Council,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
178,0,7,86,Other Arab League Countries,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
179,0,0,4,Islamic not Arabic countries,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
180,0,0,6,"Asian not Arabic ,not Islamic","PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
181,0,0,0,Other Country Groups,"PROCESSED CHEESE, NOT GRATED OR POWDERED",04063000
182,0,0,5,Gulf Cooperation Council,FRESH FERMENTED CREAM CHEESE,04069010
183,0,2,37,Other Arab League Countries,FRESH FERMENTED CREAM CHEESE,04069010
184,0,0,1,Islamic not Arabic countries,FRESH FERMENTED CREAM CHEESE,04069010
185,0,0,0,Other Country Groups,FRESH FERMENTED CREAM CHEESE,04069010
186,0,3,56,Gulf Cooperation Council,SOLID OR SEMI-SOLID CHEESE,04069020
187,0,1,15,Other Arab League Countries,SOLID OR SEMI-SOLID CHEESE,04069020
188,0,0,1,Islamic not Arabic countries,SOLID OR SEMI-SOLID CHEESE,04069020
189,0,0,3,"Asian not Arabic ,not Islamic",SOLID OR SEMI-SOLID CHEESE,04069020
190,0,0,0,Other Country Groups,SOLID OR SEMI-SOLID CHEESE,04069020
191,0,0,3,Gulf Cooperation Council,OTHER CHEESE,04069030
192,0,0,0,Other Country Groups,OTHER CHEESE,04069030
193,0,7,99,Gulf Cooperation Council,OTHER CHEESE,04069090
194,0,7,70,Other Arab League Countries,OTHER CHEESE,04069090
195,0,0,1,Islamic not Arabic countries,OTHER CHEESE,04069090
196,0,0,1,Other Arab League Countries,Fresh eggs for hatching of fowls of the species Gallus domesticus,04071100
197,0,1,4,Gulf Cooperation Council,Fresh eggs of fowls of the species Gallus domesticus,04072100
198,0,0,0,Other Country Groups,Fresh eggs of fowls of the species Gallus domesticus,04072100
199,0,3,19,Gulf Cooperation Council,OTHER FRESH BIRDS EGGS,04072900
200,0,0,0,Other Country Groups,OTHER FRESH BIRDS EGGS,04072900
201,0,1,33,Gulf Cooperation Council,NATURAL HONEY,04090000
202,0,0,8,Other Arab League Countries,NATURAL HONEY,04090000
203,0,1,11,Islamic not Arabic countries,NATURAL HONEY,04090000
204,0,0,1,North America,NATURAL HONEY,04090000
205,0,0,1,Other Country Groups,NATURAL HONEY,04090000
206,6738,3,2,Gulf Cooperation Council,PALM TREE SEEDLINGS,06022010
207,13432,0,4,Other Arab League Countries,PALM TREE SEEDLINGS,06022010
208,20,0,0,Other Country Groups,PALM TREE SEEDLINGS,06022010
209,0,8,12,Gulf Cooperation Council,"TOMATOES, FRESH OR CHILLED",07020000
210,0,1,2,Other Arab League Countries,"TOMATOES, FRESH OR CHILLED",07020000
211,0,1,1,Gulf Cooperation Council,"GARLIC, FRESH",07032000
212,0,0,0,Other Country Groups,"GARLIC, FRESH",07032000
213,0,6,7,Gulf Cooperation Council,"CAULIFLOWERS AND HEADED BROCCOLI, FRESH",07041000
214,0,0,0,Other Country Groups,"CAULIFLOWERS AND HEADED BROCCOLI, FRESH",07041000
215,0,12,10,Gulf Cooperation Council,"OTHER EDIBLE BRASSICAS, FRESH",07049000
216,0,0,0,Other Country Groups,"OTHER EDIBLE BRASSICAS, FRESH",07049000
217,0,3,8,Gulf Cooperation Council,"CABBAGE LETTUCE (HEAD LETTUCE), FRESH",07051100
218,0,0,0,Other Country Groups,"CABBAGE LETTUCE (HEAD LETTUCE), FRESH",07051100
219,0,3,5,Gulf Cooperation Council,"OTHER CHICORY, FRESH",07052900
220,0,0,0,Other Country Groups,"OTHER CHICORY, FRESH",07052900
221,0,8,9,Gulf Cooperation Council,"CARROTS AND TURNIPS, FRESH",07061000
222,0,0,1,Other Arab League Countries,"CARROTS AND TURNIPS, FRESH",07061000
223,0,9,9,Gulf Cooperation Council,"OTHER EDIBLE ROOTS, FRESH",07069000
224,0,1,1,Other Arab League Countries,"OTHER EDIBLE ROOTS, FRESH",07069000
225,0,3,4,Gulf Cooperation Council,"CUCUMBERS AND GHERKINS, FRESH",07070000
226,0,0,0,Other Country Groups,"CUCUMBERS AND GHERKINS, FRESH",07070000
227,0,2,2,Gulf Cooperation Council,"BEANS, FRESH",07082000
228,0,0,1,Other Arab League Countries,"BEANS, FRESH",07082000
229,0,2,2,Gulf Cooperation Council,"KIDNEY BEANS, FRESH",07089010
230,0,2,3,Other Arab League Countries,"KIDNEY BEANS, FRESH",07089010
231,0,5,8,Gulf Cooperation Council,"OTHER LEGUMINOUS VEGETABLES, FRESH",07089090
232,0,6,6,Gulf Cooperation Council,"AUBERGINES (EGG-PLANTS), FRESH",07093000
233,0,0,0,Other Country Groups,"AUBERGINES (EGG-PLANTS), FRESH",07093000
234,0,4,3,Gulf Cooperation Council,"Other Vegetables, Fresh Or Chilled",07095990
235,0,3,4,Gulf Cooperation Council,"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",07096000
236,0,0,0,Other Country Groups,"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",07096000
237,0,2,3,Gulf Cooperation Council,"MARROW, FRESH",07099910
238,0,0,0,Other Country Groups,"MARROW, FRESH",07099910
239,0,1,1,Gulf Cooperation Council,"OKRA, FRESH",07099920
240,0,4,7,Gulf Cooperation Council,"PARSLEY, FRESH",07099930
241,0,4,6,Gulf Cooperation Council,"CORIANDER, FRESH",07099940
242,0,0,0,Other Country Groups,"CORIANDER, FRESH",07099940
243,0,0,1,Gulf Cooperation Council,"PEAS, FROZEN",07102100
244,0,0,1,Other Country Groups,"PEAS, FROZEN",07102100
245,0,1,1,Gulf Cooperation Council,"BEANS, FROZEN",07102200
246,0,1,2,Other Arab League Countries,"BEANS, FROZEN",07102200
247,0,0,1,European Union,"BEANS, FROZEN",07102200
248,0,1,2,Gulf Cooperation Council,OTHER FROZEN LEGUMINOUS VEGETABLES,07102900
249,0,1,2,Gulf Cooperation Council,"SWEET CORN, FROZEN",07104000
250,0,0,0,Other Country Groups,"SWEET CORN, FROZEN",07104000
251,0,0,1,European Union,"MIXTURES OF VEGETABLES, FROZEN",07109000
252,0,0,0,Other Country Groups,"MIXTURES OF VEGETABLES, FROZEN",07109000
253,0,1,2,Gulf Cooperation Council,"CHICKPEAS, DRIED",07132000
254,0,1,1,Other Arab League Countries,"CHICKPEAS, DRIED",07132000
255,0,0,1,Other Arab League Countries,"LENTILS, DRIED",07134000
256,0,0,1,Other Country Groups,"LENTILS, DRIED",07134000
257,0,0,1,Gulf Cooperation Council,OTHER DRIED LEGUMINOUS VEGETABLES,07139090
258,0,2,2,Gulf Cooperation Council,OTHER ROOTS AND TUBERS,07149090
259,0,0,0,Other Country Groups,OTHER ROOTS AND TUBERS,07149090
260,0,0,2,Gulf Cooperation Council,CASHEW NUTS WITHOUT SHELL,08013200
261,0,0,1,Islamic not Arabic countries,CASHEW NUTS WITHOUT SHELL,08013200
262,0,0,1,"Asian not Arabic ,not Islamic",CASHEW NUTS WITHOUT SHELL,08013200
263,0,0,0,Other Country Groups,CASHEW NUTS WITHOUT SHELL,08013200
264,0,0,1,Gulf Cooperation Council,ALMONDS SHELLED,08021200
265,0,0,0,Other Country Groups,ALMONDS SHELLED,08021200
266,0,0,2,Gulf Cooperation Council,PISTACHIOS IN SHELLS,08025100
267,0,0,1,Islamic not Arabic countries,PISTACHIOS IN SHELLS,08025100
268,0,0,2,Other Arab League Countries,"PISTACHIOS, SHELLED",08025200
269,0,0,1,Islamic not Arabic countries,"PISTACHIOS, SHELLED",08025200
270,0,0,0,Other Country Groups,"PISTACHIOS, SHELLED",08025200
271,0,0,1,Gulf Cooperation Council,PLANTAINS,08031000
272,0,0,1,Other Arab League Countries,PLANTAINS,08031000
273,0,8,17,Other Arab League Countries,OTHER BANANAS,08039000
274,0,0,0,Other Country Groups,OTHER BANANAS,08039000
275,0,7,28,Gulf Cooperation Council,FRESH DATES,08041010
276,0,19,107,Other Arab League Countries,FRESH DATES,08041010
277,0,13,77,Islamic not Arabic countries,FRESH DATES,08041010
278,0,5,26,"Asian not Arabic ,not Islamic",FRESH DATES,08041010
279,0,2,4,"African not Arabic,not Islamic",FRESH DATES,08041010
280,0,1,11,North America,FRESH DATES,08041010
281,0,1,11,European Union,FRESH DATES,08041010
282,0,0,1,Europe not European Union,FRESH DATES,08041010
283,0,0,1,Other Country Groups,FRESH DATES,08041010
284,0,32,186,Gulf Cooperation Council,STORED DATES,08041021
285,0,46,116,Other Arab League Countries,STORED DATES,08041021
286,0,3,16,Islamic not Arabic countries,STORED DATES,08041021
287,0,2,15,"Asian not Arabic ,not Islamic",STORED DATES,08041021
288,0,1,5,"African not Arabic,not Islamic",STORED DATES,08041021
289,0,0,3,Australia and Oceania,STORED DATES,08041021
290,0,1,11,North America,STORED DATES,08041021
291,0,1,6,South America,STORED DATES,08041021
292,0,2,17,European Union,STORED DATES,08041021
293,0,0,2,Europe not European Union,STORED DATES,08041021
294,0,19,89,Gulf Cooperation Council,OTHER DATES,08041029
295,0,4,20,Other Arab League Countries,OTHER DATES,08041029
296,0,1,3,Islamic not Arabic countries,OTHER DATES,08041029
297,0,1,2,"Asian not Arabic ,not Islamic",OTHER DATES,08041029
298,0,0,1,European Union,OTHER DATES,08041029
299,0,0,0,Other Country Groups,OTHER DATES,08041029
300,0,2,5,Gulf Cooperation Council,FRESH FIGS,08042010
301,0,3,10,Other Arab League Countries,FRESH FIGS,08042010
302,0,1,2,"African not Arabic,not Islamic",FRESH FIGS,08042010
303,0,0,2,North America,FRESH FIGS,08042010
304,0,0,2,European Union,FRESH FIGS,08042010
305,0,0,1,Other Country Groups,FRESH FIGS,08042010
306,0,0,1,Gulf Cooperation Council,DRIED FIGS,08042020
307,0,0,1,Islamic not Arabic countries,DRIED FIGS,08042020
308,0,0,0,Other Country Groups,DRIED FIGS,08042020
309,0,1,2,Gulf Cooperation Council,PINEAPPLES,08043000
310,0,0,1,Other Arab League Countries,PINEAPPLES,08043000
311,0,1,3,Gulf Cooperation Council,MANGOES,08045020
312,0,0,0,Other Country Groups,MANGOES,08045020
313,0,6,12,Gulf Cooperation Council,ORANGES,08051000
314,0,6,10,Other Arab League Countries,ORANGES,08051000
315,0,0,0,Other Country Groups,ORANGES,08051000
316,0,4,9,Gulf Cooperation Council,MANDARINS AND CITRUS HYBRIDS,08052000
317,0,0,0,Other Country Groups,MANDARINS AND CITRUS HYBRIDS,08052000
318,0,10,17,Gulf Cooperation Council,FRESH LEMONS,08055010
319,0,1,2,Other Arab League Countries,FRESH LEMONS,08055010
320,0,7,20,Gulf Cooperation Council,OTHER CITRUS FRUIT,08059000
321,0,0,0,Other Country Groups,OTHER CITRUS FRUIT,08059000
322,0,5,16,Gulf Cooperation Council,FRESH GRAPES,08061000
323,0,0,1,Other Country Groups,FRESH GRAPES,08061000
324,0,0,1,Other Arab League Countries,DRIED GRAPES,08062000
325,0,0,0,Other Country Groups,DRIED GRAPES,08062000
326,0,4,12,Gulf Cooperation Council,"APPLES, FRESH",08081000
327,0,0,0,Other Country Groups,"APPLES, FRESH",08081000
328,0,1,2,Gulf Cooperation Council,"PEARS, FRESH",08083000
329,0,0,0,Other Country Groups,"PEARS, FRESH",08083000
330,0,1,2,Gulf Cooperation Council,"APRICOTS, FRESH",08091000
331,0,0,0,Other Country Groups,"APRICOTS, FRESH",08091000
332,0,1,2,Gulf Cooperation Council,"PEACHES, INCLUDING NECTARINES, FRESH",08093000
333,0,0,0,Other Country Groups,"PEACHES, INCLUDING NECTARINES, FRESH",08093000
334,0,0,1,Gulf Cooperation Council,"RASPBERRIES, BLACKBERRIES, FRESH",08105000
335,0,0,0,Other Country Groups,"RASPBERRIES, BLACKBERRIES, FRESH",08105000
336,0,2,5,Gulf Cooperation Council,"POMEGRANATES, FRESH",08109010
337,0,8,27,Other Arab League Countries,"POMEGRANATES, FRESH",08109010
338,0,0,0,Other Country Groups,"POMEGRANATES, FRESH",08109010
339,0,12,24,Gulf Cooperation Council,"OTHER FRUIT, FRESH",08109090
